Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SelectAndAddProductsFromCart,Firefox 66.0,,,2019-07-10 20:21:23,2019-07-10 20:22:21,57.488s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-10 20:21:24,2019-07-10 20:21:42,17.694s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-10 20:21:25,2019-07-10 20:21:41,16.065s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-10 20:21:41,2019-07-10 20:21:42,0.786s,PASSED
,,,,,,,
Test Cases/LOG_IN/access_log_in,Firefox 66.0,,,2019-07-10 20:21:42,2019-07-10 20:21:45,3.411s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_login""))",Firefox 66.0,,,2019-07-10 20:21:43,2019-07-10 20:21:45,1.522s,PASSED
"waitForElementVisible(findTestObject(""LOG_IN/iframe_log-in""), 3)",Firefox 66.0,,,2019-07-10 20:21:45,2019-07-10 20:21:45,0.438s,PASSED
,,,,,,,
Test Cases/LOG_IN/success_log_in,Firefox 66.0,,,2019-07-10 20:21:45,2019-07-10 20:21:50,4.860s,PASSED
"setText(findTestObject(""LOG_IN/input_email""), ""iart60910@yopmail.com"")",Firefox 66.0,,,2019-07-10 20:21:46,2019-07-10 20:21:47,0.535s,PASSED
"setEncryptedText(findTestObject(""LOG_IN/input_password""), ""pvWt8Onr8p8JrmFePASEjg=="")",Firefox 66.0,,,2019-07-10 20:21:47,2019-07-10 20:21:47,0.530s,PASSED
"click(findTestObject(""LOG_IN/button_sign-in""))",Firefox 66.0,,,2019-07-10 20:21:47,2019-07-10 20:21:48,0.495s,PASSED
"waitForElementNotVisible(findTestObject(""HOME_PAGE/Header/icon_load-user""), 5)",Firefox 66.0,,,2019-07-10 20:21:48,2019-07-10 20:21:50,2.152s,PASSED
"verifyElementText(findTestObject(""LOG_IN/select_profile""), ""ian"")",Firefox 66.0,,,2019-07-10 20:21:50,2019-07-10 20:21:50,0.251s,PASSED
,,,,,,,
Test Cases/PRODUCTS/access_section_products,Firefox 66.0,,,2019-07-10 20:21:50,2019-07-10 20:22:00,9.868s,PASSED
"waitForElementVisible(findTestObject(""HOME_PAGE/NavBar/ul-menu"", [""nameMenu"":""Departamentos""]), 3)",Firefox 66.0,,,2019-07-10 20:21:51,2019-07-10 20:21:52,0.350s,PASSED
"mouseOver(findTestObject(""HOME_PAGE/NavBar/ul-menu"", [""nameMenu"":""Departamentos""]))",Firefox 66.0,,,2019-07-10 20:21:52,2019-07-10 20:21:52,0.306s,PASSED
delay(1),Firefox 66.0,,,2019-07-10 20:21:52,2019-07-10 20:21:53,1.056s,PASSED
"mouseOver(findTestObject(""HOME_PAGE/NavBar/li_sub-menu"", [""nameOption"":""Videojuegos""]))",Firefox 66.0,,,2019-07-10 20:21:53,2019-07-10 20:21:53,0.214s,PASSED
delay(1),Firefox 66.0,,,2019-07-10 20:21:53,2019-07-10 20:21:54,1.009s,PASSED
"click(findTestObject(""HOME_PAGE/NavBar/a_section"", [""nameTitleSection"":""Accesorios"", ""nameSection"":""XBOX""]))",Firefox 66.0,,,2019-07-10 20:21:54,2019-07-10 20:22:00,5.413s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-10 20:22:00,2019-07-10 20:22:00,0.536s,PASSED
,,,,,,,
Test Cases/PRODUCTS/select_product_catalog,Firefox 66.0,,,2019-07-10 20:22:00,2019-07-10 20:22:09,9.218s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-10 20:22:01,2019-07-10 20:22:01,0.147s,PASSED
"click(findTestObject(""PRODUCTS/CatalogProducts/li_product"", [""nameProduct"":""Gold 3 Meses""]))",Firefox 66.0,,,2019-07-10 20:22:01,2019-07-10 20:22:06,4.714s,PASSED
"waitForElementNotVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-10 20:22:06,2019-07-10 20:22:09,3.415s,PASSED
,,,,,,,
Test Cases/PRODUCTS/add_product_to_cart,Firefox 66.0,,,2019-07-10 20:22:09,2019-07-10 20:22:17,7.437s,PASSED
"waitForElementClickable(findTestObject(""PRODUCTS/DetailProducts/input_qty""), 3)",Firefox 66.0,,,2019-07-10 20:22:10,2019-07-10 20:22:10,0.171s,PASSED
"for ([x = 0, x <= 3, (x++)])",Firefox 66.0,,,2019-07-10 20:22:10,2019-07-10 20:22:15,4.584s,PASSED
"click(findTestObject(""PRODUCTS/DetailProducts/button_add-shopping-cart""))",Firefox 66.0,,,2019-07-10 20:22:15,2019-07-10 20:22:16,0.831s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProducts/div_modal-product-added""), 3)",Firefox 66.0,,,2019-07-10 20:22:16,2019-07-10 20:22:16,0.701s,PASSED
"click(findTestObject(""PRODUCTS/DetailProducts/button_close-modal-product-added""))",Firefox 66.0,,,2019-07-10 20:22:16,2019-07-10 20:22:17,0.514s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-10 20:22:17,2019-07-10 20:22:21,3.983s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-10 20:22:17,2019-07-10 20:22:21,3.322s,PASSED
