Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Successful_registration,Firefox 66.0,,,2019-07-11 20:08:38,2019-07-11 20:09:30,52.079s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-11 20:08:39,2019-07-11 20:09:05,25.884s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-11 20:08:41,2019-07-11 20:09:05,23.736s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-11 20:09:05,2019-07-11 20:09:05,0.334s,PASSED
,,,,,,,
Test Cases/LOG_IN/access_log_in,Firefox 66.0,,,2019-07-11 20:09:05,2019-07-11 20:09:07,2.099s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_login""))",Firefox 66.0,,,2019-07-11 20:09:06,2019-07-11 20:09:07,0.600s,PASSED
"waitForElementVisible(findTestObject(""LOG_IN/iframe_log-in""), 3)",Firefox 66.0,,,2019-07-11 20:09:07,2019-07-11 20:09:07,0.340s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-11 20:09:07,2019-07-11 20:09:09,2.421s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-11 20:09:08,2019-07-11 20:09:09,1.008s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-11 20:09:09,2019-07-11 20:09:09,0.736s,PASSED
,,,,,,,
Test Cases/SIGN_UP/registered_user,Firefox 66.0,,,2019-07-11 20:09:09,2019-07-11 20:09:26,16.820s,PASSED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 20:09:11,2019-07-11 20:09:11,0.242s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 20:09:11,2019-07-11 20:09:11,0.446s,PASSED
"flagAlert.push(verifyElementVisible(findTestObject(""SIGN_UP/txt_message-error"")))",Firefox 66.0,,,2019-07-11 20:09:11,2019-07-11 20:09:21,9.416s,PASSED
out.println(flagAlert.size()),Firefox 66.0,,,2019-07-11 20:09:21,2019-07-11 20:09:26,5.529s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-11 20:09:26,2019-07-11 20:09:30,3.411s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-11 20:09:27,2019-07-11 20:09:30,2.919s,PASSED
