Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SendOpinionProduct,Firefox 66.0,,,2019-07-13 01:57:52,2019-07-13 01:58:38,45.730s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-13 01:57:53,2019-07-13 01:58:13,19.920s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-13 01:57:54,2019-07-13 01:58:13,18.624s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-13 01:58:13,2019-07-13 01:58:13,0.043s,PASSED
,,,,,,,
Test Cases/HOME_PAGE/search_product,Firefox 66.0,,,2019-07-13 01:58:13,2019-07-13 01:58:18,5.205s,PASSED
"waitForElementClickable(findTestObject(""HOME_PAGE/Header/input_search""), 3)",Firefox 66.0,,,2019-07-13 01:58:14,2019-07-13 01:58:14,0.269s,PASSED
"setText(findTestObject(""HOME_PAGE/Header/input_search""), nameProduct)",Firefox 66.0,,,2019-07-13 01:58:14,2019-07-13 01:58:14,0.402s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_search""))",Firefox 66.0,,,2019-07-13 01:58:14,2019-07-13 01:58:18,3.308s,PASSED
,,,,,,,
Test Cases/PRODUCTS/CatalogProducts/GridProducts/select_product_catalog,Firefox 66.0,,,2019-07-13 01:58:18,2019-07-13 01:58:29,10.791s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-13 01:58:19,2019-07-13 01:58:19,0.151s,PASSED
"click(findTestObject(""PRODUCTS/CatalogProducts/li_product"", [""nameProduct"":nameProduct]))",Firefox 66.0,,,2019-07-13 01:58:19,2019-07-13 01:58:25,6.496s,PASSED
"waitForElementNotVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-13 01:58:25,2019-07-13 01:58:29,3.287s,PASSED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/ProductOpinion/access_product_opinion,Firefox 66.0,,,2019-07-13 01:58:29,2019-07-13 01:58:31,2.119s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_opinion""), 3)",Firefox 66.0,,,2019-07-13 01:58:29,2019-07-13 01:58:30,0.189s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_opinion""))",Firefox 66.0,,,2019-07-13 01:58:30,2019-07-13 01:58:30,0.483s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_send-opinion""), 3)",Firefox 66.0,,,2019-07-13 01:58:30,2019-07-13 01:58:31,0.629s,PASSED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/ProductOpinion/send_opinion,Firefox 66.0,,,2019-07-13 01:58:31,2019-07-13 01:58:34,3.375s,FAILED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_send-opinion""), 3)",Firefox 66.0,,,2019-07-13 01:58:32,2019-07-13 01:58:32,0.104s,PASSED
"clickOffset(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/icons_raiting""), 0, 10)",Firefox 66.0,,,2019-07-13 01:58:32,2019-07-13 01:58:32,0.303s,PASSED
"setText(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_title-opinion""), ""¡¡Excelente servicio!!"")",Firefox 66.0,,,2019-07-13 01:58:32,2019-07-13 01:58:32,0.210s,PASSED
"setText(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_write-opinion""), ""Cinco estrellas Aut_Test"")",Firefox 66.0,,,2019-07-13 01:58:32,2019-07-13 01:58:32,0.239s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_add-photo""))",Firefox 66.0,,,2019-07-13 01:58:32,2019-07-13 01:58:33,0.599s,PASSED
"waitForElementClickable(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_upload-photo""), 3)",Firefox 66.0,,,2019-07-13 01:58:33,2019-07-13 01:58:33,0.053s,PASSED
"uploadFile(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_upload-photo""), ""C:\Users\QualtopGroup\Katalon Studio\QSSAT_Web_Liverpool\Files\img.png"")",Firefox 66.0,,,2019-07-13 01:58:33,2019-07-13 01:58:33,0.178s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_accept-add-photo""))",Firefox 66.0,,,2019-07-13 01:58:33,2019-07-13 01:58:34,0.460s,PASSED
"waitForElementNotVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/icon_load-product""), 10)",Firefox 66.0,,,2019-07-13 01:58:34,2019-07-13 01:58:34,0.349s,FAILED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-13 01:58:34,2019-07-13 01:58:38,3.384s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-13 01:58:35,2019-07-13 01:58:38,2.464s,PASSED
