Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuccessSignUp,Firefox 66.0,,,2019-07-12 17:29:11,2019-07-12 17:29:44,33.368s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-12 17:29:11,2019-07-12 17:29:28,16.917s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-12 17:29:12,2019-07-12 17:29:28,15.806s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-12 17:29:28,2019-07-12 17:29:28,0.491s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-12 17:29:28,2019-07-12 17:29:34,5.479s,PASSED
"callTestCase(findTestCase(""LOG_IN/access_log_in""), [:], STOP_ON_FAILURE)",Firefox 66.0,,,2019-07-12 17:29:29,2019-07-12 17:29:32,2.398s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-12 17:29:32,2019-07-12 17:29:33,1.085s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-12 17:29:33,2019-07-12 17:29:34,0.950s,PASSED
,,,,,,,
Test Cases/SIGN_UP/fill_out_correctly_form,Firefox 66.0,,,2019-07-12 17:29:34,2019-07-12 17:29:41,6.689s,PASSED
random = new java.util.Random(),Firefox 66.0,,,2019-07-12 17:29:35,2019-07-12 17:29:35,0.010s,PASSED
rand = random.nextInt(100),Firefox 66.0,,,2019-07-12 17:29:35,2019-07-12 17:29:35,0.007s,PASSED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:29:35,2019-07-12 17:29:35,0.119s,PASSED
"setText(findTestObject(""SIGN_UP/input_email""), ""iart"" + rand + ""@yopmail.com"")",Firefox 66.0,,,2019-07-12 17:29:35,2019-07-12 17:29:35,0.465s,PASSED
"setEncryptedText(findTestObject(""SIGN_UP/input_password""), ""cNkTP62zox2sjTkN4QiJDw=="")",Firefox 66.0,,,2019-07-12 17:29:35,2019-07-12 17:29:36,0.483s,PASSED
"setText(findTestObject(""SIGN_UP/input_name""), ""IAN"")",Firefox 66.0,,,2019-07-12 17:29:36,2019-07-12 17:29:36,0.190s,PASSED
"setText(findTestObject(""SIGN_UP/input_last-name""), ""ROMERO"")",Firefox 66.0,,,2019-07-12 17:29:36,2019-07-12 17:29:36,0.146s,PASSED
"setText(findTestObject(""SIGN_UP/input_second-last-name""), ""TORRES"")",Firefox 66.0,,,2019-07-12 17:29:36,2019-07-12 17:29:36,0.135s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_day""), ""27"", false)",Firefox 66.0,,,2019-07-12 17:29:36,2019-07-12 17:29:37,0.470s,PASSED
"selectOptionByValue(findTestObject(""SIGN_UP/select_month""), ""6"", false)",Firefox 66.0,,,2019-07-12 17:29:37,2019-07-12 17:29:37,0.416s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_year""), ""1998"", false)",Firefox 66.0,,,2019-07-12 17:29:37,2019-07-12 17:29:37,0.361s,PASSED
"click(findTestObject(""SIGN_UP/radio_male""))",Firefox 66.0,,,2019-07-12 17:29:37,2019-07-12 17:29:38,0.300s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:29:38,2019-07-12 17:29:40,2.452s,PASSED
"verifyElementText(findTestObject(""LOG_IN/select_profile""), ""IAN"")",Firefox 66.0,,,2019-07-12 17:29:40,2019-07-12 17:29:41,0.334s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-12 17:29:41,2019-07-12 17:29:44,3.567s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-12 17:29:41,2019-07-12 17:29:44,3.153s,PASSED
